关键词	搜索次数	商品数量
雅培	3963	925
凤爪	3944	223
果珍	3916	747
红糖	3891	600
面纸	3889	396
蜂花	3839	195
黑乌龙	3837	352
话梅	3814	902
山楂	3813	662
曼秀雷敦	3796	752
豆浆机	3782	849
恒寿堂	3757	644
袜子	3745	406
洗发	3700	315
黄酒	3693	615
味精	3684	204
杯子	3678	668
费列罗	3662	213
威化	3649	149
192289	3624	711
威猛	3602	174
水杯	3594	676
进口牛奶	3591	137
威猛先生	3589	812
椰奶	3534	779
苹果手机	3531	908
周黑鸭	3518	382
阿明	3511	47
养生堂	3509	726
ipad	3479	890
花仙子	3476	173
欧德堡	3468	875
宝宝金水	3465	223
茶	3463	12
挂钩	3457	533
帮 70	3427	897
书包	3407	681
促销	3385	20
卡尼尔	3380	176
莫斯利安	3368	301
包	3365	859
电饭煲	3356	315
压缩饼干	3317	821
维维	3315	628
曲奇	3315	745
开心果	3314	392
牛仔裤	3312	763
面巾纸	3298	309
橄榄菜	3249	959
紫菜	3234	87
青豆	3233	285
妮维雅	3229	452
德芙	3211	787
喜蛋	3201	853
金枪鱼	3199	269
${req.keyword?if_exists}, 	3166	525
驱蚊	3147	86
豆奶	3144	285
麻花	3139	162
威露士	3136	529
小米手机	3135	694
蛋卷	3130	808
罐头	3129	295
能量棒	3109	300
杜蕾斯	3097	252
百洁布	3083	667
防晒霜	3059	368
洁厕	3053	676
ipad2	3050	426
湿巾纸	3040	635
奇多	3023	702
奶酪	3022	355
都乐	3021	82
水果	3007	18
mp4	3002	871
依云	2997	825
特仑苏	2991	872
皂	2981	574
儿童牙膏	2980	371
午餐肉	2976	103
乐而雅	2974	436
牙签	2971	20
火腿肠	2970	120
高洁丝	2954	619
银耳	2940	389
tipo	2933	253
洁伴	2926	849
唐狮	2921	676
莱家	2901	318
泳衣	2900	637
进口食品	2898	878
果粒橙	2893	961
手帕纸	2891	192
笔	2887	653
食品	2886	151
蛋	2883	600
移动硬盘	2880	994
10928662	2848	703
抹布	2824	844
蚊帐	2819	689
护手霜	2815	601
兰花豆	2796	287
雅漾	2796	330
米粉	2788	460
电动车电池	2786	688
娇爽	2776	54
za	2775	488
无糖	2753	612
清扬	2752	736
吉列	2750	440
洗衣机	2740	316
除湿	2733	808
垃圾桶	2732	673
绿茶	2722	906
牛肉	2720	128
意面	2717	16
泊美	2715	204
十月初五	2708	249
屈臣氏	2705	986
露露	2697	371
费雪	2692	993
内衣	2678	788
佳洁士	2661	516
薏米	2644	116
鼠标	2643	194
小米	2629	984
10743074	2623	313
蓝罐	2615	223
佐丹奴	2612	819
衣领净	2610	530
方糖	2601	117
柔顺剂	2596	761
枕头	2588	847
腰果	2585	592
酱菜	2585	829
面包机	2574	852
小脆	2566	296
插座	2561	119
糟卤	2559	537
安利	2556	686
电水壶	2553	996
百事可乐	2550	628
白醋	2539	681
收纳	2531	307
帮宝适特级	2511	507
不二家	2510	860
酸梅	2506	262
84	2506	103
果汁	2496	7
创可贴	2491	639
伊利	2490	671
燕麦片	2489	797
乐事薯片	2484	69
香水	2480	511
梅林	2477	364
佰草集	2472	534
电脑	2471	946
调料	2467	385
鸡蛋	2459	365
隐形眼镜	2459	327
波力	2446	969
多美滋	2430	285
奶瓶	2427	26
笔记本	2417	410
妙管家	2412	758
剪刀	2412	204
品客	2406	18
一次性杯子	2389	748
薯愿	2387	48
番茄酱	2382	285
爆米花	2374	465
台灯	2360	471
菊花	2355	907
黄豆	2354	705
皮带	2348	619
棒棒糖	2341	395
纸制品	2341	144
丝塔芙	2341	973
计算器	2341	888
浴巾	2340	329
生粉	2330	198
饮水机	2328	585
风扇	2300	86
大麦茶	2298	130
狮王	2295	586
肌研	2295	273
雅哈	2295	806
特百惠	2292	92
天堂伞	2288	882
绿箭	2286	992
米老头	2284	995
食盐	2260	255
椰树	2258	104
百雀羚	2245	86
电脑桌	2243	257
郁美净	2242	803
九阳	2230	959
洁霸	2228	910
好多鱼	2222	962
三星	2217	303
麦斯威尔	2204	484
果酱	2189	806
吸管	2189	246
左旋肉碱	2183	714
邦迪	2174	329
豆浆	2173	644
橙汁	2172	20
10631126	2171	947
电蚊香	2155	137
宠物	2152	556
厨房调料	2146	443
挂面	2143	118
糖果	2141	955
电话机	2140	184
爽身粉	2139	450
电磁炉	2128	560
杯	2128	885
睡衣	2121	46
彩漂	2119	193
豆腐干	2113	101
洗发露	2111	889
微波炉	2096	397
沐浴	2093	988
猪肉脯	2093	11
泡椒凤爪	2084	156
喜多	2083	267
玩具	2080	98
福临门	2076	676
珍珠粉	2072	162
棒棒娃	2070	544
汤达人	2070	927
黑人牙膏	2070	430
养乐多	2068	606
老抽	2053	805
旁氏	2053	68
酱	2051	914
电动自行车	2044	939
力士	2041	252
舒耐	2031	951
雪菲力	2031	502
糙米卷	2027	797
htc	2025	264
乳加力	2023	829
儿童牙刷	2008	218
酸奶机	2007	58
好吃点	2003	196
芝麻酱	1997	560
洗衣袋	1994	751
云南白药	1992	648
海天	1986	65
钱包	1984	231
木耳	1982	751
百味林	1981	903
水壶	1974	523
纯牛奶	1973	544
蚊香片	1970	348
白猫	1964	531
409314	1962	663
蚝油	1955	47
床垫	1955	366
蚊	1949	186
花生油	1947	286
眼霜	1943	685
白咖啡	1939	292
安全套	1938	170
筷子	1935	276
雅芳	1921	711
红茶	1912	927
9972683	1908	917
太平	1905	821
摩托 车	1903	993
香菇	1896	54
碗	1894	337
旺仔	1893	606
香肠	1893	248
纸尿裤	1875	406
奶	1842	931
百奇	1841	742
拉杆箱	1831	603
坚果	1831	42
来伊份	1828	131
寿司	1826	639
飞利浦	1824	283
钙片	1819	661
床	1818	355
榨汁机	1799	417
7D	1788	128
家乐	1785	384
摩托	1785	561
空调扇	1778	428
HTC	1776	19
诺基亚5230	1775	292
莲子	1773	670
面条	1762	827
护理液	1757	259
饼干 	1752	994
蓝罐曲奇	1748	308
五月花	1747	975
黑人	1743	939
ZA	1736	767
芝麻油	1731	553
汇源	1730	667
碧柔	1728	621
黄油	1727	901
饭盒	1727	287
黑木耳	1720	27
浓汤宝	1710	521
牛板筋	1709	906
10736591	1705	522
肠	1701	134
丹麦	1701	486
鲁花	1700	898
241850	1699	925
东方树叶	1697	583
ABC	1695	876
平板纸	1688	586
丹麦蓝罐	1687	320
椰汁	1684	969
光明牛奶	1683	97
佳得乐	1680	353
得宝	1679	529
芝士	1678	167
10524411	1677	202
清洁剂	1675	921
蛋黄派	1674	877
薄荷糖	1673	666
味全	1670	658
无花果	1669	323
收纳箱	1668	317
丝袜	1660	654
阿华田	1660	980
蓝月亮洗衣液	1659	282
火腿	1658	820
秤	1656	423
牙线	1654	27
嚼益嚼	1654	895
花王	1652	129
洽洽	1652	769
文胸	1652	953
面包券	1647	309
酒	1645	444
汤	1645	77
鱼肝油	1642	324
芝麻糊	1638	815
U盘	1638	825
小奶花	1637	318
永和	1635	559
卫生巾 	1628	951
洗衣	1623	747
力保健	1621	546
刀	1621	856
辛拉面	1620	459
鸡爪	1618	179
蜂蜜柚子茶	1618	369
麻薯	1615	864
碧丽珠	1605	780
除湿剂	1603	373
平板电脑	1601	477
苹果4	1600	444
番茄汁	1599	217
永谷园	1594	357
浴帽	1593	44
iphone4	1593	961
肥皂盒	1593	245
红酒	1591	864
钙尔奇	1589	296
指甲油	1585	395
眼镜	1583	413
水笔	1580	416
消毒	1576	364
木糖醇	1571	156
悠哈	1571	147
薇姿	1570	287
巴黎水	1566	41
纸巾纸	1566	674
鞋	1564	756
营养快线	1563	906
扇牌	1561	192
枕套	1560	282
菊花茶	1557	448
短裤	1557	16
卡夫	1556	592
可口可乐 	1555	385
开米	1555	593
农夫	1553	732
厕纸	1550	49
众望	1546	640
烟	1546	648
蚊香液	1543	741
黑乌龙茶	1536	800
硫磺皂	1536	651
膳通	1534	123
香烟	1530	802
黑莓	1527	691
公牛	1526	433
玉米	1526	250
方便面速食	1524	573
冰露	1523	621
黑糖	1517	886
黑豆	1517	613
辣酱	1515	276
喜之郎	1513	496
耐克	1510	894
百依秀子	1508	268
美的	1507	774
蓝莓	1504	652
丝瓜水	1502	726
笔记本电脑	1500	198
发膜	1495	609
擦手纸	1490	267
凤梨酥	1489	594
u盘	1480	426
淀粉	1478	313
百力滋	1474	528
笋	1470	701
嗳呵	1470	354
施华蔻	1467	672
连衣裙	1464	533
统一冰红茶	1463	261
锅	1461	571
康师傅 方便粉丝	1459	47
墙贴	1458	5
保温杯	1458	124
苏打	1453	184
藕粉	1452	233
隐形眼镜护理液	1450	813
蟑螂	1448	536
转换器	1448	764
苏伯	1440	773
多力	1438	656
美即	1433	563
皂粉	1432	832
铅笔	1431	660
芬达	1430	896
胶原蛋白	1424	836
黑芝麻	1419	775
胶带	1419	536
12543656	1410	459
nike golf	1409	206
电压力锅	1409	244
贝因美	1408	271
卡西欧	1407	175
双船	1406	130
水之密语	1406	226
胶水	1405	758
弹力素	1404	940
德运	1403	671
压缩袋	1401	312
苏泊尔	1399	871
女装	1397	811
电子 书	1392	455
达利园	1389	310
嘉宝	1388	688
减肥	1384	226
好想你	1384	807
调味品	1382	42
咪咪	1382	33
厨房用纸	1381	36
卸妆	1381	729
豆	1380	108
思高	1380	705
帮 74	1380	641
李施德林	1377	906
包大人	1376	287
糕点	1375	762
mp3	1373	429
一次性	1373	569
苏打饼干	1372	495
叶酸	1372	558
ufo	1370	225
衣服	1369	123
高露洁	1368	251
老梅干	1368	760
拖线板	1365	151
永和豆浆	1364	769
夹子	1364	579
爽肤水	1363	562
雨伞	1361	84
复印纸	1361	175
风油精	1358	365
10664081	1355	255
电饭锅	1355	793
闹钟	1355	227
热水器	1353	845
音箱	1349	316
文件夹	1346	728
可果美	1345	583
钙	1340	850
五谷道场	1336	404
欧珀莱	1334	354
虚拟	1333	88
羽毛球	1332	254
狗	1331	197
美宝莲	1329	647
盆	1328	678
乌梅	1327	856
维维嚼益嚼	1327	156
染发	1326	436
84 消毒液	1326	88
樟脑丸	1322	300
好时	1321	611
苹果醋	1317	604
杏花楼	1316	649
全仕奶	1309	946
女性护理	1308	718
派	1308	711
三星手机	1305	461
脱毛膏	1304	457
iphone	1303	433
凉鞋	1303	848
雕牌	1301	821
泡椒	1298	67
收纳盒	1297	735
橡皮	1295	572
乐天	1294	118
芥末	1292	791
芒果	1290	488
德芙巧克力	1289	206
蜜饯	1289	471
碧根果	1289	40
昂立	1287	612
西梅	1286	312
西洋参	1281	446
鱼	1281	290
鸭舌	1280	93
咖啡伴侣	1278	306
统一 小浣熊 10	1275	400
女包	1274	737
七喜	1272	925
脸盆	1271	902
雅马哈	1270	507
红豆	1267	894
吸尘器	1265	427
抱枕	1263	901
松子	1261	739
冠生园	1261	672
糯米	1261	351
鞋油	1258	840
双汇	1257	663
长尾夹	1257	390
亲子装	1252	216
文具	1248	854
夏士莲	1244	891
乐高	1243	412
倩碧	1242	97
钢丝球	1241	321
UFO	1241	256
雨衣	1240	891
芝麻	1236	579
菠萝蜜	1235	344
润唇膏	1232	810
加湿器	1228	770
乳垫	1227	331
白兰氏	1225	368
刷子	1225	513
泡腾片	1224	173
洁厕液	1224	585
豆瓣酱	1224	382
电脑包	1222	929
王老吉 凉茶	1221	518
10034181	1219	698
雀巢 水	1217	493
汉波	1217	9
吸湿	1217	755
双肩包	1214	685
砂糖	1214	883
粥	1212	272
泡吧	1212	656
玉米油	1211	653
金锣	1210	830
情侣装	1210	56
整理箱	1209	622
闲趣	1208	365
吹风机	1207	479
婴儿床	1203	511
帽子	1201	821
纯净水	1201	761
衣柜	1200	403
汤臣倍健	1198	199
核桃仁	1196	203
辣椒	1196	624
芦荟胶	1195	982
咖啡豆	1194	46
大白兔	1193	629
面包粉	1193	50
奶油	1193	680
眼罩	1191	190
和田玉枣	1190	468
甲醛	1184	273
沙发	1182	720
步步高	1181	283
MP3	1180	756
六神花露水	1177	200
桂圆	1171	839
伊卡璐	1169	766
旺旺仙贝	1166	751
弗朗大叔	1159	80
合生元	1158	261
孕妇装	1152	726
汰渍	1149	218
黄飞	1148	468
玻璃	1146	245
椰子汁	1144	568
花椒	1144	186
沙拉酱	1141	46
酒精	1141	888
小浣熊干脆面	1140	695
金银花	1138	690
电蚊拍	1135	880
佳宝	1132	715
哈根达斯	1131	158
牛初乳	1130	583
白板笔	1129	970
康乐醋	1129	477
电子称	1126	715
方便面 	1126	678
TIPO	1125	347
清风 原木	1124	328
阿迪达斯	1123	342
亚羡姿	1120	273
皇室	1120	549
回形针	1119	642
双面胶	1118	709
电子书	1116	689
番茄	1115	746
精油	1115	946
猫砂	1114	39
康师傅方便面	1112	799
美汁源	1111	689
相机	1109	147
MP4	1109	891
DHC	1108	836
席	1106	337
维生素	1105	110
布丁	1103	469
电子秤	1102	352
可可粉	1101	214
花仙子 除湿	1101	50
可爱可	1100	743
炼奶	1100	200
油壶	1099	475
赛尔号	1098	358
项链	1098	779
丝蕴	1096	157
明治	1096	759
晾衣架	1095	536
电吹风	1095	575
花仙子 甲醛	1094	222
自行车..	1090	186
油葫芦	1090	487
小辣椒	1089	459
苹果5	1088	600
yagao牙膏	1088	705
n8	1087	938
燕窝	1085	237
艺福堂	1083	10
纽倍乐	1083	61
大茂	1079	49
跳舞毯	1077	132
虾条	1077	862
10633757	1077	700
浴帘	1074	424
联想	1074	660
自然堂	1074	740
柠檬	1069	711
玻璃杯	1069	305
打火机	1063	632
胡椒粉	1061	93
热干面	1061	848
汤力水	1061	41
麒麟	1060	349
黑米	1060	948
九阳豆浆机	1060	644
诺基亚手机	1059	652
卫生	1058	573
霸王	1058	314
大瀛	1056	828
自由森林	1055	870
me525	1054	505
奶瓶刷	1054	495
收音机	1050	555
小核桃	1049	348
融氏	1048	508
床单	1048	104
靠垫	1048	904
百威	1048	32
地垫	1047	133
称	1042	225
5230	1038	380
禾煜	1038	235
蛋白粉	1033	976
鸭	1031	564
数码相机	1031	979
千纤草	1031	847
娃哈哈	1030	803
七度空间	1030	677
5233	1030	727
面膜纸	1030	48
油烟机	1029	339
电话	1028	705
优冠	1025	869
小面包	1023	807
蛋奶星星	1022	479
椰	1022	572
沐浴球	1020	954
舒适达	1018	596
鲜得味	1017	424
脱毛	1016	337
呀土豆	1015	61
摩托罗拉	1014	664
阿胶	1012	92
饭扫光	1012	998
延中	1010	540
佳丽	1010	307
apple	1008	963
思朗	1006	825
索爱	1005	30
白酒	1003	466
奶嘴	996	81
电影	995	423
新安怡	995	32
茶具	993	570
牙膏 	992	88
普洱茶	991	173
螺旋藻	991	811
四件套	989	537
咸蛋	988	351
浴球	988	171
328507	985	631
赤豆	984	608
卫新	984	545
金奇仕	984	175
挂钟	984	137
鸭脖	981	364
瑞士军刀	980	182
鞋架	980	88
游泳	980	802
空气清新	980	387
银鹭	979	982
N8	979	148
灯	978	28
帮 100	978	425
小当家	978	262
糙米	977	772
少林寺 素饼	975	519
妇炎洁	973	15
坐垫	971	502
洁柔	971	47
142643	970	782
纸手帕	969	8
立顿奶茶	968	728
诺基亚N8	966	695
nuk	965	342
鼠标垫	965	994
达能	963	266
樟脑	963	28
喜福来	961	653
磨牙棒	960	3
酵母	959	739
